city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Norfolk,2013,172,34,15905663.0,447379.0,,100221324,559814.0,15,9278815.0,491601.0,8,4780345.0,424806.0,4498470.0,502112.0,157,90942509.0,562851.0,26,11125318.0,447379.0,79817191.0,593761.0,69.94564137313861,30.054358626861386,23.52941176470588,76.47058823529412,8.720930232558139,91.27906976744185,12.233352831732407,51.51891701688201,53.333333333333336,16.560509554140125
Norfolk,2014,172,38,21250820.0,498982.0,,103338701,579617.5,24,13860756.0,421432.0,12,7671415.0,408471.0,6189341.0,470861.5,148,89477945.0,595116.0,26,13579405.0,576413.0,75898540.0,615390.0,63.900616540914655,36.099383459085345,31.57894736842105,68.42105263157895,13.953488372093023,86.04651162790698,15.176259356425764,55.346295685459005,50.0,17.56756756756757
Norfolk,2015,181,33,12873913.0,370824.0,,106448577,600863.0,20,8533611.0,301937.5,9,2658607.0,255741.0,5875004.0,485907.0,161,97914966.0,608663.0,24,10215306.0,437956.0,87699660.0,625925.0,79.34888172694657,20.651118273053424,27.27272727272727,72.72727272727273,11.049723756906078,88.95027624309392,10.432834138960944,31.15453704182204,45.0,14.906832298136646
Norfolk,2016,183,25,8970077.0,280551.0,,109378086,610979.0,14,5689039.0,319430.0,5,1237621.0,255701.0,4451418.0,455117.0,169,103689047.0,619707.0,20,7732456.0,321075.5,95956591.0,645268.0,86.20278287466205,13.797217125337943,20.0,80.0,7.650273224043716,92.34972677595628,7.457350823178074,21.754482611210786,35.714285714285715,11.834319526627219
Norfolk,2017,180,32,15370809.0,511271.0,,113642255,602526.0,21,13201936.0,471384.0,9,2679631.0,294609.0,10522305.0,758747.5,159,100440319.0,610382.0,23,12691178.0,542696.0,87749141.0,625490.5,82.56675364322074,17.433246356779268,28.125,71.875,11.666666666666666,88.33333333333333,12.635541310855455,20.29725791732364,42.857142857142854,14.465408805031446
Norfolk,2018,180,36,426146143.0,521598.0,,516185837,592318.5,28,424987079.0,539725.5,11,414319287.0,496485.0,10667792.0,542554.0,152,91198758.0,598611.0,25,11826856.0,523041.0,79371902.0,611831.0,2.775305184447017,97.22469481555298,30.555555555555557,69.44444444444444,15.555555555555555,84.44444444444444,12.968220466335737,97.48985497980281,39.285714285714285,16.447368421052634
Norfolk,2019,167,25,12933969.0,526750.0,,105921064,615420.0,15,8231218.0,437296.0,7,2561731.0,263431.0,5669487.0,532467.0,152,97689846.0,617662.0,18,10372238.0,540874.5,87317608.0,642324.0,80.1937750121405,19.806224987859487,28.000000000000004,72.0,8.982035928143713,91.01796407185628,10.617519040822318,31.122137695782083,46.666666666666664,11.842105263157894
Norfolk,2020,198,23,10509128.0,478166.0,,124846249,616261.5,20,10857882.0,615162.0,7,2719055.0,281468.0,8138827.0,687728.0,178,113988367.0,616261.5,16,7790073.0,496967.5,106198294.0,632204.0,74.12673059077784,25.873269409222154,30.434782608695656,69.56521739130434,10.1010101010101,89.8989898989899,6.834094745826125,25.04222278341209,35.0,8.98876404494382
Norfolk,2021,174,26,15911391.0,560550.5,,124420390,699354.0,20,14581554.0,573897.0,8,5283458.0,457344.5,9298096.0,645968.0,154,109838836.0,712700.0,18,10627933.0,587243.5,99210903.0,721509.0,66.79449332871023,33.20550667128977,30.76923076923077,69.23076923076923,11.494252873563218,88.50574712643679,9.675933747149323,36.23384722917736,40.0,11.688311688311687
Norfolk,2022,131,25,15776000.0,603000.0,,94944983,660000.0,9,4406500.0,500000.0,6,2819000.0,496500.0,1587500.0,500000.0,122,90538483.0,695500.0,19,12957000.0,625000.0,77581483.0,700333.0,82.13108519269777,17.86891480730223,24.0,76.0,6.870229007633588,93.12977099236642,14.311041637399647,63.97367525246794,66.66666666666666,15.573770491803279
