year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
2010,36689,10120,5183344500.0,360848.5,,21773303575,469259.0,7672,3976372382.0,354426.0,5075,2227270051.0,318983.0,1749102331.0,482019.0,29017,17796931193.0,496196.0,5045,2956074449.0,425311.0,14840856744.0,510373.0,57.030252359263415,42.96974764073659,50.14822134387352,49.851778656126484,20.91089972471313,79.08910027528687,16.61002347507362,56.012612427404186,66.14963503649635,17.38635972016404
2011,32830,10599,5973861380.0,383668.0,,20270260461,471563.0,6454,3956108195.0,374904.5,4116,2203643756.0,331511.5,1752464439.0,488305.0,26376,16314152266.0,489700.0,6483,3770217624.0,432499.0,12543934642.0,509232.0,63.11190341011896,36.88809658988103,38.83385225021229,61.16614774978771,19.658848614072493,80.3411513859275,23.11010442054924,55.702312661345196,63.77440347071583,24.579162875341222
2012,39699,11624,6769042342.0,391235.0,,24512797143,480633.0,7230,4480564822.0,382782.5,4237,2421275898.0,325460.0,2059288924.0,508098.0,32469,20032232321.0,495738.0,7387,4347766444.0,439436.0,15684465877.0,509762.5,64.23015582312634,35.76984417687367,36.45044735030971,63.5495526496903,18.21204564346709,81.78795435653291,21.703853940642404,54.03952390357807,58.6030428769018,22.750931657889065
2013,42793,10587,6586864978.0,427706.0,,27988778672,515609.0,7390,4989744350.0,445287.0,3638,2170971971.0,350938.0,2818772379.0,539905.0,35403,22999034322.0,526408.0,6949,4415893007.0,472417.0,18583141315.0,537206.0,67.04089155841201,32.95910844158797,34.362897893643144,65.63710210635685,17.269179538709604,82.7308204612904,19.200340958558964,43.508681381642326,49.22868741542625,19.62828008925797
2014,41214,9694,6544631706.0,451242.0,,28164857135,529719.0,7085,5389377507.0,483941.0,3207,2196222616.0,379174.0,3193154891.0,575497.0,34129,22775479628.0,536259.0,6487,4348409090.0,490481.0,18427070538.0,542798.0,66.44238034072195,33.557619659278046,33.08231896018155,66.91768103981845,17.19076042121609,82.80923957878392,19.092502818926803,40.75095153656305,45.26464361326747,19.007295848105716
2015,44176,9779,7042485819.0,460333.0,,31938004460,544728.0,7594,6699238554.0,509243.5,3383,2385982445.0,383483.0,4313256109.0,621450.0,36582,25238765906.0,549843.0,6396,4656503374.0,511481.0,20582262532.0,556236.0,66.12016685127243,33.87983314872757,34.59453931894877,65.40546068105122,17.190329590728,82.809670409272,18.44980610915295,35.61572596299577,44.54832762707401,17.48400852878465
2016,46276,10552,7184639326.0,473059.5,,34173253233,561103.0,8406,7965263422.0,511227.0,3843,2558325618.0,393520.0,5406937804.0,623448.0,37870,26207989811.0,567337.0,6709,4626313708.0,522449.0,21581676103.0,573572.0,64.3917321118424,35.60826788815759,36.41963608794541,63.58036391205458,18.164923502463477,81.83507649753652,17.65230275714716,32.11853120806932,45.71734475374733,17.71587008185899
2017,45371,9897,7205740513.0,507645.0,,33388602699,583187.0,8215,6839313296.0,549948.0,3597,2602382004.0,437541.0,4236931292.0,645736.0,37156,26549289403.0,588263.5,6300,4603358509.0,549948.0,21945930894.0,592252.0,63.8846000726088,36.115399927391195,36.34434677174902,63.65565322825098,18.10627934142955,81.89372065857046,17.33891419511903,38.05034060249899,43.78575776019476,16.955538809344386
2018,43423,9789,7638887723.0,496485.0,,32753356247,592722.0,7715,7262238128.0,576154.0,3289,3109012313.0,444527.0,4153225815.0,663905.0,35708,25491118119.0,594628.0,6500,4529875410.0,519578.0,20961242709.0,606174.0,59.30019623617395,40.69980376382605,33.59893758300132,66.40106241699867,17.76708196117265,82.23291803882735,17.770406887815653,42.81066329969289,42.631237848347375,18.20320376386244
2019,42040,8945,6613942431.0,490991.0,,31367661675,594121.0,6754,6572580224.0,613178.0,2735,2629340995.0,476418.0,3943239229.0,700615.0,35286,24795081451.0,589637.0,6210,3984601436.0,495755.0,20810480015.0,605331.0,60.24548108135779,39.75451891864222,30.5757406372275,69.4242593627725,16.065651760228352,83.93434823977165,16.070128440087455,40.00469991068153,40.49452176488007,17.599047780989626
2020,40880,8247,6812115407.0,556889.0,,32531456072,632204.0,5776,6103251097.0,649796.0,2332,2529016539.0,517857.5,3574234558.0,725660.0,35104,26428204975.0,632204.0,5915,4283098868.0,571732.0,22145106107.0,642099.0,62.874725574947966,37.12527442505203,28.27694919364617,71.72305080635383,14.129158512720155,85.87084148727985,16.206544757964593,41.43720287443386,40.37396121883656,16.84993163172288
2021,46829,9699,8492184452.0,617140.0,,40238280103,683338.0,7184,8380578167.0,747401.0,2768,3152100008.0,640629.0,5228478159.0,800787.0,39645,31857701936.0,672661.0,6931,5340084444.0,608598.0,26517617492.0,683338.0,62.882341689391275,37.117658310608725,28.539024641715642,71.46097535828436,15.340921224027845,84.65907877597215,16.762302738370373,37.611963580412,38.530066815144764,17.4826585950309
2022,38930,8708,7928255856.0,600000.0,,34450360433,680000.0,6327,8067273306.0,750000.0,2453,3193583060.0,620000.0,4873690246.0,825000.0,32603,26383087127.0,672000.0,6255,4734672796.0,599000.0,21648414331.0,685000.0,59.71897075466936,40.28102924533065,28.169499310978413,71.83050068902159,16.252247623940406,83.7477523760596,17.945863473856388,39.58689558248617,38.77034929666509,19.185351041315215
