city,year,proptype,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Acton,2007,R2F,1,1,131246.0,131246.0,,131246,131246.0,0,0.0,,0,0.0,,0.0,,1,131246.0,131246.0,1,131246.0,131246.0,0.0,,100.0,0.0,0.0,100.0,0.0,100.0,100.0,,,100.0
Acton,2007,R3F,1,0,0.0,,,409261,409261.0,0,0.0,,0,0.0,,0.0,,1,409261.0,409261.0,0,0.0,,409261.0,409261.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2007,RCD,143,29,12703297.0,416317.0,,77937235,340110.0,18,20153480.0,244145.0,6,2925772.0,242507.5,17227708.0,244145.0,125,57783755.0,352811.0,23,9777525.0,423232.0,48006230.0,339404.5,76.96840434416356,23.031595655836433,20.689655172413794,79.3103448275862,12.587412587412588,87.41258741258741,16.920888924577504,14.517453065177827,33.33333333333333,18.4
Acton,2008,LND,17,0,0.0,,,20912923,1270591.0,1,1327049.0,1327049.0,0,0.0,,1327049.0,1327049.0,16,19585874.0,1268927.0,0,0.0,,19585874.0,1268927.0,,,,,5.88235294117647,94.11764705882352,0.0,0.0,0.0,0.0
Acton,2008,R1F,157,15,5572262.0,432277.0,,111950437,678109.0,23,12648299.0,552431.0,7,2228071.0,420390.0,10420228.0,607674.0,134,99302138.0,695786.5,8,3344191.0,461279.5,95957947.0,712636.0,60.014963402654075,39.985036597345925,46.666666666666664,53.333333333333336,14.64968152866242,85.35031847133759,3.3676928486675686,17.615578189604783,30.434782608695656,5.970149253731343
Acton,2008,R2F,1,1,639034.0,639034.0,,639034,639034.0,1,639034.0,639034.0,1,639034.0,639034.0,0.0,,0,0.0,,0,0.0,,0.0,,0.0,100.0,100.0,0.0,100.0,0.0,,100.0,100.0,
Acton,2008,RCD,114,36,9797216.0,181010.0,,42076546,301696.0,19,4190152.0,176703.0,12,1079276.0,44885.0,3110876.0,379796.0,95,37886394.0,320410.0,24,8717940.0,265857.5,29168454.0,321791.0,88.98385010598929,11.016149894010708,33.33333333333333,66.66666666666666,16.666666666666664,83.33333333333334,23.01074100638873,25.757442689429883,63.1578947368421,25.263157894736842
Acton,2009,LND,8,2,2256795.0,1128397.5,,8617826,1131631.0,2,1342494.0,671247.0,1,913739.0,913739.0,428755.0,428755.0,6,7275332.0,1307350.0,1,1343056.0,1343056.0,5932276.0,1279235.0,59.51165258696515,40.48834741303486,50.0,50.0,25.0,75.0,18.460408404729847,68.06279953578937,50.0,16.666666666666664
Acton,2009,R1F,187,17,11663935.0,560895.0,,136812049,677573.0,15,9819005.0,604316.0,5,3717355.0,700768.0,6101650.0,572765.5,172,126993044.0,681790.0,12,7946580.0,558786.5,119046464.0,681790.0,68.1294948917325,31.870505108267494,29.411764705882355,70.58823529411765,8.02139037433155,91.97860962566845,6.257492339501682,37.858774896234394,33.33333333333333,6.976744186046512
Acton,2009,R2F,1,0,0.0,,,312077,312077.0,0,0.0,,0,0.0,,0.0,,1,312077.0,312077.0,0,0.0,,312077.0,312077.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2009,RCD,110,37,11800168.0,295208.0,,39992527,273419.0,13,4816530.0,181623.0,9,2595441.0,175719.0,2221089.0,485687.5,97,35175997.0,279745.0,28,9204727.0,299425.5,25971270.0,272716.0,78.00505043657006,21.994949563429945,24.324324324324326,75.67567567567568,11.818181818181818,88.18181818181819,26.167636414114998,53.88611718394778,69.23076923076923,28.865979381443296
Acton,2010,LND,10,3,4596899.0,1392892.0,,12418897,1302301.0,3,4596899.0,1392892.0,3,4596899.0,1392892.0,0.0,,7,7821998.0,1293228.0,0,0.0,,7821998.0,1293228.0,0.0,100.0,100.0,0.0,30.0,70.0,0.0,100.0,100.0,0.0
Acton,2010,R1F,187,31,20739283.0,588346.0,,140871102,680497.0,31,22157737.0,642219.0,12,5985469.0,409007.0,16172268.0,753509.0,156,118713365.0,695383.0,19,14753814.0,632153.0,103959551.0,705307.0,71.13946031789044,28.860539682109547,38.70967741935484,61.29032258064516,16.577540106951872,83.42245989304813,12.428098554867853,27.012997762361746,38.70967741935484,12.179487179487179
Acton,2010,R2F,1,0,0.0,,,361514,361514.0,0,0.0,,0,0.0,,0.0,,1,361514.0,361514.0,0,0.0,,361514.0,361514.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2010,RCD,107,34,11024971.0,239591.5,,47502140,343793.0,22,7079945.0,212655.0,14,3418729.0,193445.5,3661216.0,404045.0,85,40422195.0,395539.0,20,7606242.0,378526.5,32815953.0,396957.0,68.9910386158839,31.008961384116112,41.17647058823529,58.82352941176471,20.5607476635514,79.43925233644859,18.8169939806584,48.287507883182705,63.63636363636363,23.52941176470588
Acton,2011,LND,3,3,2022977.0,837094.0,,2022977,837094.0,3,2022977.0,837094.0,3,2022977.0,837094.0,0.0,,0,0.0,,0,0.0,,0.0,,0.0,100.0,100.0,0.0,100.0,0.0,,100.0,100.0,
Acton,2011,R1F,143,25,18744093.0,724086.0,,108953457,724086.0,15,10131104.0,592942.0,9,5357576.0,460402.0,4773528.0,917315.0,128,98822353.0,724783.5,16,13386517.0,799263.5,85435836.0,711530.0,71.41725662586074,28.58274337413926,36.0,64.0,10.48951048951049,89.5104895104895,13.546041551955357,52.882449928457945,60.0,12.5
Acton,2011,R2F,4,0,0.0,,,2615989,655758.5,0,0.0,,0,0.0,,0.0,,4,2615989.0,655758.5,0,0.0,,2615989.0,655758.5,,,,,0.0,100.0,0.0,,,0.0
Acton,2011,RCD,114,60,20918454.0,311817.5,,44808526,329606.0,15,5603799.0,243106.0,12,3167856.0,201056.0,2435943.0,901271.0,99,39204727.0,334419.0,48,17750598.0,332884.5,21454129.0,348789.0,84.8561657568002,15.143834243199809,20.0,80.0,13.157894736842104,86.8421052631579,45.27667798834564,56.53050725052772,80.0,48.484848484848484
